User,org:resource,concept:name,Cumulative net worth (EUR),time:timestamp,case:Spend area text,case:Company,case:Document Type,case:Sub spend area text,case:Purchasing Document,case:Purch. Doc. Category name,case:Vendor,case:Item Type,case:Item Category,case:Spend classification text,case:Source,case:Name,case:GR-Based Inv. Verif.,case:Item,case:concept:name,case:Goods Receipt
user_002,user_002,Clear Invoice,298.0,2018-03-29 13:06:00+00:00,CAPEX & SOCS,companyID_0000,EC Purchase order,Facility Management,2000000000,Purchase order,vendorID_0000,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0000,False,1,2000000000_00001,True
batch_00,batch_00,SRM: Created,557.0,2018-01-03 08:49:00+00:00,Marketing,companyID_0000,EC Purchase order,Marketing Support Services,2000000001,Purchase order,vendorID_0001,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0001,True,1,2000000001_00001,True
batch_00,batch_00,SRM: Complete,557.0,2018-01-03 09:49:00+00:00,Marketing,companyID_0000,EC Purchase order,Marketing Support Services,2000000001,Purchase order,vendorID_0001,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0001,True,1,2000000001_00001,True
batch_00,batch_00,SRM: Awaiting Approval,557.0,2018-01-03 09:49:00+00:00,Marketing,companyID_0000,EC Purchase order,Marketing Support Services,2000000001,Purchase order,vendorID_0001,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0001,True,1,2000000001_00001,True
batch_00,batch_00,SRM: Document Completed,557.0,2018-01-03 09:49:00+00:00,Marketing,companyID_0000,EC Purchase order,Marketing Support Services,2000000001,Purchase order,vendorID_0001,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0001,True,1,2000000001_00001,True
batch_00,batch_00,SRM: Ordered,557.0,2018-01-03 09:49:00+00:00,Marketing,companyID_0000,EC Purchase order,Marketing Support Services,2000000001,Purchase order,vendorID_0001,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0001,True,1,2000000001_00001,True
batch_00,batch_00,SRM: In Transfer to Execution Syst.,557.0,2018-01-03 09:49:00+00:00,Marketing,companyID_0000,EC Purchase order,Marketing Support Services,2000000001,Purchase order,vendorID_0001,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0001,True,1,2000000001_00001,True
batch_00,batch_00,SRM: Change was Transmitted,557.0,2018-01-03 09:49:00+00:00,Marketing,companyID_0000,EC Purchase order,Marketing Support Services,2000000001,Purchase order,vendorID_0001,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0001,True,1,2000000001_00001,True
user_000,user_000,Create Purchase Order Item,557.0,2018-01-03 09:49:00+00:00,Marketing,companyID_0000,EC Purchase order,Marketing Support Services,2000000001,Purchase order,vendorID_0001,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0001,True,1,2000000001_00001,True
NONE,NONE,Vendor creates invoice,557.0,2018-01-10 22:59:00+00:00,Marketing,companyID_0000,EC Purchase order,Marketing Support Services,2000000001,Purchase order,vendorID_0001,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0001,True,1,2000000001_00001,True
user_000,user_000,Record Goods Receipt,557.0,2018-01-16 12:09:00+00:00,Marketing,companyID_0000,EC Purchase order,Marketing Support Services,2000000001,Purchase order,vendorID_0001,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0001,True,1,2000000001_00001,True
NONE,NONE,Record Service Entry Sheet,557.0,2018-01-16 12:09:00+00:00,Marketing,companyID_0000,EC Purchase order,Marketing Support Services,2000000001,Purchase order,vendorID_0001,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0001,True,1,2000000001_00001,True
user_004,user_004,Record Invoice Receipt,557.0,2018-01-16 14:44:00+00:00,Marketing,companyID_0000,EC Purchase order,Marketing Support Services,2000000001,Purchase order,vendorID_0001,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0001,True,1,2000000001_00001,True
user_005,user_005,Clear Invoice,557.0,2018-03-08 12:21:00+00:00,Marketing,companyID_0000,EC Purchase order,Marketing Support Services,2000000001,Purchase order,vendorID_0001,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0001,True,1,2000000001_00001,True
user_003,user_003,SRM: In Transfer to Execution Syst.,557.0,2019-01-17 10:58:00+00:00,Marketing,companyID_0000,EC Purchase order,Marketing Support Services,2000000001,Purchase order,vendorID_0001,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0001,True,1,2000000001_00001,True
user_003,user_003,SRM: Transfer Failed (E.Sys.),557.0,2019-01-17 10:58:00+00:00,Marketing,companyID_0000,EC Purchase order,Marketing Support Services,2000000001,Purchase order,vendorID_0001,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0001,True,1,2000000001_00001,True
